# WASA-at-COSY CD Field Map
#
# transcription from WMC cd_field_rect.dat
#
# 090205 CFR
#
#
#  R(cm)          Z(cm)           Fr(kGs)        Fz(kGs)
7.50E+001       -5.50E+001      -1.93E-003      6.44E-004
8.00E+001       -5.50E+001      -1.77E-003      4.74E-004
8.50E+001       -5.50E+001      -1.63E-003      3.23E-004
9.00E+001       -5.50E+001      -1.52E-003      1.91E-004
9.50E+001       -5.50E+001      -1.42E-003      7.13E-005
                        
0.00E+000       -5.00E+001      0.00E+000       3.17E+000
5.00E+000       -5.00E+001      -3.58E-001      3.18E+000
1.00E+001       -5.00E+001      -5.10E-001      3.09E+000
1.50E+001       -5.00E+001      -5.77E-001      2.95E+000
2.00E+001       -5.00E+001      -7.17E-001      2.48E+000
2.50E+001       -5.00E+001      -8.16E-001      2.09E+000
3.00E+001       -5.00E+001      -8.74E-001      1.84E+000
3.50E+001       -5.00E+001      -8.43E-001      1.49E+000
4.00E+001       -5.00E+001      -7.09E-001      1.13E+000
4.50E+001       -5.00E+001      -1.74E+000      -2.17E-002
5.00E+001       -5.00E+001      -3.74E+000      -1.83E+000
5.50E+001       -5.00E+001      -2.97E+000      -2.66E+000
6.00E+001       -5.00E+001      -2.67E+000      -2.92E+000
6.50E+001       -5.00E+001      -2.57E-003      9.10E-004
7.00E+001       -5.00E+001      -2.33E-003      7.64E-004
7.50E+001       -5.00E+001      -2.13E-003      5.93E-004
8.00E+001       -5.00E+001      -1.95E-003      4.32E-004
8.50E+001       -5.00E+001      -1.80E-003      2.87E-004
9.00E+001       -5.00E+001      -1.66E-003      1.66E-004
9.50E+001       -5.00E+001      -1.55E-003      6.18E-005
                        
0.00E+000       -4.50E+001      0.00E+000       3.80E+000
5.00E+000       -4.50E+001      -4.39E-001      3.73E+000
1.00E+001       -4.50E+001      -7.21E-001      3.54E+000
1.50E+001       -4.50E+001      -8.87E-001      3.36E+000
2.00E+001       -4.50E+001      -1.13E+000      2.81E+000
2.50E+001       -4.50E+001      -1.23E+000      2.35E+000
3.00E+001       -4.50E+001      -1.26E+000      2.04E+000
3.50E+001       -4.50E+001      -1.14E+000      1.51E+000
4.00E+001       -4.50E+001      -9.73E-001      1.19E+000
4.50E+001       -4.50E+001      -8.00E-001      8.96E-001
5.00E+001       -4.50E+001      -1.57E+000      -4.50E-001
5.50E+001       -4.50E+001      -3.19E+000      -2.83E+000
6.00E+001       -4.50E+001      -2.98E+000      -2.98E+000
6.50E+001       -4.50E+001      -1.81E+000      -2.12E+000
7.00E+001       -4.50E+001      -2.51E-003      7.42E-004
7.50E+001       -4.50E+001      -2.34E-003      5.61E-004
8.00E+001       -4.50E+001      -2.14E-003      3.76E-004
8.50E+001       -4.50E+001      -1.95E-003      2.31E-004
9.00E+001       -4.50E+001      -1.78E-003      1.24E-004
9.50E+001       -4.50E+001      -1.65E-003      4.21E-005
                        
0.00E+000       -4.00E+001      0.00E+000       4.59E+000
5.00E+000       -4.00E+001      -5.89E-001      4.48E+000
1.00E+001       -4.00E+001      -1.01E+000      4.24E+000
1.50E+001       -4.00E+001      -1.27E+000      4.01E+000
2.00E+001       -4.00E+001      -1.65E+000      3.30E+000
2.50E+001       -4.00E+001      -1.78E+000      2.67E+000
3.00E+001       -4.00E+001      -1.78E+000      2.24E+000
3.50E+001       -4.00E+001      -1.55E+000      1.52E+000
4.00E+001       -4.00E+001      -1.30E+000      1.11E+000
4.50E+001       -4.00E+001      -1.05E+000      8.22E-001
5.00E+001       -4.00E+001      -8.63E-001      6.38E-001
5.50E+001       -4.00E+001      -1.59E+000      -6.50E-001
6.00E+001       -4.00E+001      -3.25E+000      -3.07E+000
6.50E+001       -4.00E+001      -2.68E+000      -3.20E+000
7.00E+001       -4.00E+001      -1.64E+000      -2.03E+000
7.50E+001       -4.00E+001      -2.66E-003      5.24E-004
8.00E+001       -4.00E+001      -2.34E-003      2.60E-004
8.50E+001       -4.00E+001      -2.07E-003      1.42E-004
9.00E+001       -4.00E+001      -1.88E-003      6.80E-005
9.50E+001       -4.00E+001      -1.74E-003      1.94E-005
                        
0.00E+000       -3.50E+001      0.00E+000       5.61E+000
5.00E+000       -3.50E+001      -7.71E-001      5.50E+000
1.00E+001       -3.50E+001      -1.35E+000      5.22E+000
1.50E+001       -3.50E+001      -1.73E+000      4.96E+000
2.00E+001       -3.50E+001      -2.36E+000      4.04E+000
2.50E+001       -3.50E+001      -2.57E+000      3.12E+000
3.00E+001       -3.50E+001      -2.56E+000      2.47E+000
3.50E+001       -3.50E+001      -2.08E+000      1.45E+000
4.00E+001       -3.50E+001      -1.66E+000      9.61E-001
4.50E+001       -3.50E+001      -1.28E+000      6.72E-001
5.00E+001       -3.50E+001      -9.84E-001      5.13E-001
5.50E+001       -3.50E+001      -7.43E-001      4.38E-001
6.00E+001       -3.50E+001      -5.94E-001      4.16E-001
6.50E+001       -3.50E+001      -2.52E+000      -3.79E+000
7.00E+001       -3.50E+001      -1.24E+000      -2.38E+000
7.50E+001       -3.50E+001      -2.99E-003      6.10E-005
8.00E+001       -3.50E+001      -2.47E-003      5.00E-005
8.50E+001       -3.50E+001      -2.15E-003      1.55E-005
9.00E+001       -3.50E+001      -1.93E-003      -1.41E-006
9.50E+001       -3.50E+001      -1.78E-003      -8.65E-006
                        
0.00E+000       -3.00E+001      0.00E+000       6.89E+000
5.00E+000       -3.00E+001      -9.45E-001      6.80E+000
1.00E+001       -3.00E+001      -1.71E+000      6.56E+000
1.50E+001       -3.00E+001      -2.25E+000      6.32E+000
2.00E+001       -3.00E+001      -3.35E+000      5.20E+000
2.50E+001       -3.00E+001      -3.81E+000      3.79E+000
3.00E+001       -3.00E+001      -3.79E+000      2.67E+000
3.50E+001       -3.00E+001      -2.77E+000      1.18E+000
4.00E+001       -3.00E+001      -2.02E+000      6.59E-001
4.50E+001       -3.00E+001      -1.47E+000      4.22E-001
5.00E+001       -3.00E+001      -1.08E+000      3.15E-001
5.50E+001       -3.00E+001      -7.95E-001      2.61E-001
6.00E+001       -3.00E+001      -6.41E-001      2.32E-001
6.50E+001       -3.00E+001      -1.83E+000      -4.44E+000
7.00E+001       -3.00E+001      -1.45E+000      -4.18E+000
7.50E+001       -3.00E+001      -7.63E-001      -2.76E+000
8.00E+001       -3.00E+001      -2.48E-003      -1.74E-004
8.50E+001       -3.00E+001      -2.17E-003      -1.33E-004
9.00E+001       -3.00E+001      -1.94E-003      -8.26E-005
9.50E+001       -3.00E+001      -1.78E-003      -3.88E-005
                        
0.00E+000       -2.50E+001      0.00E+000       8.36E+000
5.00E+000       -2.50E+001      -1.05E+000      8.33E+000
1.00E+001       -2.50E+001      -1.95E+000      8.25E+000
1.50E+001       -2.50E+001      -2.64E+000      8.16E+000
2.00E+001       -2.50E+001      -4.65E+000      7.24E+000
2.50E+001       -2.50E+001      -5.99E+000      5.00E+000
3.00E+001       -2.50E+001      -6.14E+000      2.48E+000
3.50E+001       -2.50E+001      -3.50E+000      4.51E-001
4.00E+001       -2.50E+001      -2.28E+000      1.34E-001
4.50E+001       -2.50E+001      -1.56E+000      6.95E-002
5.00E+001       -2.50E+001      -1.11E+000      7.28E-002
5.50E+001       -2.50E+001      -8.10E-001      9.23E-002
6.00E+001       -2.50E+001      -6.61E-001      1.06E-001
6.50E+001       -2.50E+001      -6.87E-001      -2.23E+000
7.00E+001       -2.50E+001      -1.27E+000      -4.43E+000
7.50E+001       -2.50E+001      -7.04E-001      -2.78E+000
8.00E+001       -2.50E+001      -2.47E-003      -3.85E-004
8.50E+001       -2.50E+001      -2.12E-003      -2.90E-004
9.00E+001       -2.50E+001      -1.88E-003      -1.72E-004
9.50E+001       -2.50E+001      -1.73E-003      -6.75E-005
                        
0.00E+000       -2.00E+001      0.00E+000       9.87E+000
5.00E+000       -2.00E+001      -1.01E+000      9.95E+000
1.00E+001       -2.00E+001      -1.91E+000      1.01E+001
1.50E+001       -2.00E+001      -2.61E+000      1.03E+001
2.00E+001       -2.00E+001      -5.18E+000      1.11E+001
2.50E+001       -2.00E+001      -7.69E+000      6.92E+000
3.00E+001       -2.00E+001      -8.62E+000      -2.72E+000
3.50E+001       -2.00E+001      -3.61E+000      -9.43E-001
4.00E+001       -2.00E+001      -2.22E+000      -5.61E-001
4.50E+001       -2.00E+001      -1.48E+000      -3.36E-001
5.00E+001       -2.00E+001      -1.04E+000      -1.84E-001
5.50E+001       -2.00E+001      -7.53E-001      -7.58E-002
6.00E+001       -2.00E+001      -6.12E-001      -1.83E-002
6.50E+001       -2.00E+001      -6.04E-001      -1.68E+000
7.00E+001       -2.00E+001      -7.19E-001      -4.95E+000
7.50E+001       -2.00E+001      -2.37E-001      -3.06E+000
8.00E+001       -2.00E+001      -2.31E-003      -7.11E-004
8.50E+001       -2.00E+001      -1.98E-003      -4.50E-004
9.00E+001       -2.00E+001      -1.76E-003      -2.61E-004
9.50E+001       -2.00E+001      -1.61E-003      -1.05E-004
                        
0.00E+000       -1.50E+001      0.00E+000       1.12E+001
5.00E+000       -1.50E+001      -8.24E-001      1.14E+001
1.00E+001       -1.50E+001      -1.52E+000      1.18E+001
1.50E+001       -1.50E+001      -2.03E+000      1.21E+001
2.00E+001       -1.50E+001      -3.37E+000      1.39E+001
2.50E+001       -1.50E+001      -4.11E+000      8.67E+000
3.00E+001       -1.50E+001      -4.14E+000      -4.74E+000
3.50E+001       -1.50E+001      -2.61E+000      -2.06E+000
4.00E+001       -1.50E+001      -1.75E+000      -1.16E+000
4.50E+001       -1.50E+001      -1.21E+000      -6.93E-001
5.00E+001       -1.50E+001      -8.59E-001      -4.11E-001
5.50E+001       -1.50E+001      -6.29E-001      -2.23E-001
6.00E+001       -1.50E+001      -5.16E-001      -1.27E-001
6.50E+001       -1.50E+001      -4.00E-001      -1.77E+000
7.00E+001       -1.50E+001      -2.94E-001      -5.18E+000
7.50E+001       -1.50E+001      -9.26E-002      -3.37E+000
8.00E+001       -1.50E+001      -1.98E-003      -8.87E-004
8.50E+001       -1.50E+001      -1.76E-003      -5.72E-004
9.00E+001       -1.50E+001      -1.58E-003      -3.32E-004
9.50E+001       -1.50E+001      -1.46E-003      -1.36E-004
                        
0.00E+000       -1.00E+001      0.00E+000       1.22E+001
5.00E+000       -1.00E+001      -5.42E-001      1.24E+001
1.00E+001       -1.00E+001      -9.44E-001      1.29E+001
1.50E+001       -1.00E+001      -1.20E+000      1.33E+001
2.00E+001       -1.00E+001      -1.48E+000      1.50E+001
2.50E+001       -1.00E+001      -1.48E+000      9.28E+000
3.00E+001       -1.00E+001      -1.45E+000      -4.68E+000
3.50E+001       -1.00E+001      -1.32E+000      -2.38E+000
4.00E+001       -1.00E+001      -1.08E+000      -1.46E+000
4.50E+001       -1.00E+001      -8.13E-001      -9.21E-001
5.00E+001       -1.00E+001      -6.00E-001      -5.72E-001
5.50E+001       -1.00E+001      -4.48E-001      -3.30E-001
6.00E+001       -1.00E+001      -3.72E-001      -2.01E-001
6.50E+001       -1.00E+001      -2.78E-001      -1.82E+000
7.00E+001       -1.00E+001      -1.68E-001      -5.33E+000
7.50E+001       -1.00E+001      -4.55E-002      -3.51E+000
8.00E+001       -1.00E+001      -1.64E-003      -9.70E-004
8.50E+001       -1.00E+001      -1.49E-003      -6.50E-004
9.00E+001       -1.00E+001      -1.36E-003      -3.85E-004
9.50E+001       -1.00E+001      -1.27E-003      -1.60E-004
                        
0.00E+000       -5.00E+000      0.00E+000       1.28E+001
5.00E+000       -5.00E+000      -2.55E-001      1.30E+001
1.00E+001       -5.00E+000      -4.08E-001      1.34E+001
1.50E+001       -5.00E+000      -4.76E-001      1.37E+001
2.00E+001       -5.00E+000      8.40E-002       1.48E+001
2.50E+001       -5.00E+000      1.01E+000       9.06E+000
3.00E+001       -5.00E+000      1.33E+000       -3.97E+000
3.50E+001       -5.00E+000      -2.82E-001      -2.12E+000
4.00E+001       -5.00E+000      -4.53E-001      -1.49E+000
4.50E+001       -5.00E+000      -3.90E-001      -1.02E+000
5.00E+001       -5.00E+000      -3.00E-001      -6.60E-001
5.50E+001       -5.00E+000      -2.27E-001      -3.91E-001
6.00E+001       -5.00E+000      -1.89E-001      -2.44E-001
6.50E+001       -5.00E+000      -1.40E-001      -1.86E+000
7.00E+001       -5.00E+000      -8.09E-002      -5.43E+000
7.50E+001       -5.00E+000      -1.97E-002      -3.58E+000
8.00E+001       -5.00E+000      -1.32E-003      -1.02E-003
8.50E+001       -5.00E+000      -1.21E-003      -6.95E-004
9.00E+001       -5.00E+000      -1.11E-003      -4.15E-004
9.50E+001       -5.00E+000      -1.04E-003      -1.69E-004
                        
0.00E+000       0.00E+000       0.00E+000       1.30E+001
5.00E+000       0.00E+000       0.00E+000       1.32E+001
1.00E+001       0.00E+000       0.00E+000       1.35E+001
1.50E+001       0.00E+000       0.00E+000       1.38E+001
2.00E+001       0.00E+000       0.00E+000       1.36E+001
2.50E+001       0.00E+000       0.00E+000       8.82E+000
3.00E+001       0.00E+000       0.00E+000       1.00E+000
3.50E+001       0.00E+000       0.00E+000       -1.72E+000
4.00E+001       0.00E+000       0.00E+000       -1.45E+000
4.50E+001       0.00E+000       0.00E+000       -1.04E+000
5.00E+001       0.00E+000       0.00E+000       -6.89E-001
5.50E+001       0.00E+000       0.00E+000       -4.13E-001
6.00E+001       0.00E+000       0.00E+000       -2.63E-001
6.50E+001       0.00E+000       2.30E-003       -1.87E+000
7.00E+001       0.00E+000       6.11E-003       -5.46E+000
7.50E+001       0.00E+000       3.04E-003       -3.60E+000
8.00E+001       0.00E+000       0.00E+000       -2.36E-004
8.50E+001       0.00E+000       0.00E+000       -1.72E-003
9.00E+001       0.00E+000       0.00E+000       -1.42E-003
9.50E+001       0.00E+000       0.00E+000       3.95E-003
                        
0.00E+000       5.00E+000       0.00E+000       1.28E+001
5.00E+000       5.00E+000       2.55E-001       1.30E+001
1.00E+001       5.00E+000       4.07E-001       1.34E+001
1.50E+001       5.00E+000       4.76E-001       1.37E+001
2.00E+001       5.00E+000       -8.43E-002      1.48E+001
2.50E+001       5.00E+000       -1.01E+000      9.05E+000
3.00E+001       5.00E+000       -1.33E+000      -3.98E+000
3.50E+001       5.00E+000       2.88E-001       -2.12E+000
4.00E+001       5.00E+000       4.63E-001       -1.50E+000
4.50E+001       5.00E+000       4.06E-001       -1.02E+000
5.00E+001       5.00E+000       3.21E-001       -6.67E-001
5.50E+001       5.00E+000       2.53E-001       -3.97E-001
6.00E+001       5.00E+000       2.18E-001       -2.48E-001
6.50E+001       5.00E+000       1.65E-001       -1.86E+000
7.00E+001       5.00E+000       9.36E-002       -5.41E+000
